ct_id,name,country,lat,lon,capacity_t,source,needs_verification,built_frac,flag,status
45257139,Marv Dasht Petrochemical Complex,IRN,29.8875278,52.741112,676500.0,climate-trace,0,0.29,0,clean
45257159,Ottmarsheim Fertilizers,FRA,47.7959398,7.5227782,662240.0,climate-trace,0,0.25,0,clean
45257030,Alexandria Fertilizer Complex,EGY,31.2716622,30.0932573,638750.0,climate-trace,0,0.52,0,clean
45257203,Wittenberg Fertilizers Complex,DEU,51.8712639,12.582233,600000.0,climate-trace,0,0.587,0,clean
45257171,Rivneazot Fertilizers,UKR,50.7180091,26.1600144,594950.0000000001,climate-trace,0,0.288,0,clean
45257105,Helwan Fertilizer Plant,EGY,29.7758725,31.3022137,589670.0,climate-trace,0,0.801,0,clean
45257074,Duslo Sala Chemical Complex,SVK,48.1808202,17.9378555,584000.0,climate-trace,0,0.395,0,clean
45257256,Billingham Fertilizers,GBR,54.5943025,-1.2918619,566989.9999999999,climate-trace,0,0.401,0,clean
45257079,Ferrara Fertilizers facility,ITA,44.8581344,11.5935729,544310.0,climate-trace,0,0.755,0,clean
45257033,Aswan Kima Fertilizer Complex,EGY,24.0611469,32.9161871,517100.0,climate-trace,0,0.431,0,clean
45257150,Nea Karvali Fertilizers,GRC,40.955,24.4796,459999.9999999999,climate-trace,0,0.09,0,verified-fixed
45257238,Bandar Abbas Gas Condensate Refinery,IRN,27.1627057993862,56.0518374287844,450000.0,climate-trace,0,0.417,0,clean
45257154,Nitrogenous Fertilizer Complex,EGY,29.9463098,32.4672762,400000.00000000006,climate-trace,0,0.478,0,clean
45257230,Ludwigshafen,DEU,49.551684416784,8.40087390938092,380000.0,climate-trace,0,0.261,0,clean
45257175,Salalah Methanol Complex,OMN,16.9344039,53.9872367,365000.0,climate-trace,0,0.271,0,clean
45257233,INEOS Nitriles Cologne,DEU,51.0723534866003,6.85601303697041,350000.0,climate-trace,0,0.448,0,clean
45257227,Grupa Azoty Kędzierzyn (ZAK),POL,50.3122158800777,18.2467943536275,268000.0,climate-trace,0,0.317,0,clean
33999044,HUN-Várpalota_ammonia,HUN,47.1565,18.1401,250968.00000000003,climate-trace,0,0.061,0,verified-fixed
45257228,Grupa Azoty S.A (Tarnów),POL,50.0148632255032,20.9208675212722,249000.00000000003,climate-trace,0,0.418,0,clean
33998934,CZE-Most_ammonia,CZE,50.5521841185891,13.6253630022868,237120.0,climate-trace,0,0.244,0,clean
33998943,BEL-Hainaut_ammonia,BEL,50.4636955021351,3.97003361295229,231636.0,climate-trace,0,0.309,0,clean
33999247,HUN-Kazincbarcikai_ammonia,HUN,48.2479,20.6639,213576.0,climate-trace,0,0.0,0,verified-fixed
45257235,Sagunto Catalina Project,ESP,39.6476923210642,-0.224196877555634,200000.00000000003,climate-trace,0,0.468,0,clean
45257169,Puertollano Fertilizers,ESP,38.66396,-4.0584502,200000.00000000003,climate-trace,0,0.388,0,clean
45257130,Le Havre Fertilizers,FRA,49.480361,0.2063795,181440.0,climate-trace,0,0.421,0,clean
90001,Point Lisas Industrial Estate (multiple ammonia trains),TTO,10.3967,-61.4821,2500000.0,supplement,1,0.547,0,verified-fixed
90002,QAFCO Mesaieed,QAT,24.9201,51.5657,2500000.0,supplement,1,0.828,0,verified-fixed
90003,Dangote Fertilizer Lekki,NGA,6.4418,4.0482,2500000.0,supplement,1,0.108,0,verified-fixed
90004,Pardis Petrochemical Assaluyeh,IRN,27.37,52.71,2500000.0,supplement,1,0.016,1,deferred
90005,Shiraz Petrochemical,IRN,29.8839,52.7459,2500000.0,supplement,1,0.518,0,verified-fixed
90006,Khorasan Petrochemical,IRN,37.3,57.4,2500000.0,supplement,1,0.0,1,deferred
90007,SAFCO / Maaden Al-Jubail,SAU,27.05,49.55,2500000.0,supplement,1,0.311,0,verified-fixed
90008,OMIFCO Sur,OMN,22.6407,59.4292,2500000.0,supplement,1,0.058,0,verified-fixed
90009,Indorama Eleme,NGA,4.8356,7.103,2500000.0,supplement,1,0.097,0,verified-fixed
90010,Ruwais Fertil,ARE,24.1349,52.7389,2500000.0,supplement,1,0.004,0,verified-fixed
90011,Bintulu ABF/PCF,MYS,3.26,113.08,2500000.0,supplement,1,0.398,0,verified-fixed
90012,Kaltim (Bontang complex),IDN,0.1816,117.4902,2500000.0,supplement,1,0.394,0,verified-fixed
